questions,answers
ok this way please,you look so busy
yes you are right,how long ago
how long ago,about two months
about two months,shall we share a taxi
i see thank you very much for your advice bye,keep in touch
keep in touch,how are you doing today
how are you doing today,i am doing great what about you
i am doing great what about you,i am absolutely lovely thank you
i am absolutely lovely thank you,everything s been good with you
everything s been good with you,i have not been better how about yourself
i have not been better how about yourself,i started school recently
i started school recently,where are you going to school
where are you going to school,i am going to pcc
i am going to pcc,how do you like it so far
i wish you luck,thanks a lot
good news thanks for getting things done so quickly,great my favorite soup soup soup
thanks could you take one more from this angle,no problem
no problem,now let s have one together
now let s have one together,do you know how to set up the timer
ok let s have a try,cheese
cheese,did it come out
did it come out,yes but it s blurred and a little dark
i do not think we can,then when is the earliest we can expect shipment
then when is the earliest we can expect shipment,by the middle of october i think
good morning sir how may i help you,i would like to open an account
is there anything i can do for you,yes i am looking for a pair of gloves
yes i am looking for a pair of gloves,what about this one it s the latest
what about this one it s the latest,excuse me but i want a pair of mittens
excuse me but i want a pair of mittens,i am sorry it s out of stock right now
i am sorry it s out of stock right now,fancy seeing you here lily
fancy seeing you here lily,yeah what a surprise
yeah what a surprise,how s everything going
how s everything going,fine thanks
fine thanks,johnny i want to thank you
johnny i want to thank you,what do you mean mom for breaking your best china
only dollars and cents,hey honey how was your day
i wish our company or country provided us with healthcare,not in a million years
not in a million years,is everything all right
is everything all right,not at all
not at all,what is the problem
what is the problem,someone just robbed me
someone just robbed me,what do you mean
what do you mean,this guy just robbed me right on the street
this guy just robbed me right on the street,he did not hurt you did he
he did not hurt you did he,i am okay he just stole my things
i am okay he just stole my things,i am so sorry
i am so sorry,i have to file a report at the police station
i have to file a report at the police station,let me take you
let me take you,i would like that
i would like that,repair service how may i help you
repair service how may i help you,my phone has got lot of static
my phone has got lot of static,how old is your phone
how old is your phone,about five years old
sure where is your office,we are located at west street
we are located at west street,when are you available
when are you available,from a m to p m
from a m to p m,alright i will bring it in this afternoon
alright i will bring it in this afternoon,no problem see you this afternoon
no problem see you this afternoon,good morning do i need an appointment
would you like me to blow dry your hair,yes if you think it will help
yes if you think it will help,what do you think of it
what do you think of it,it s great will it be hard to care for
by all means,anything i can do for you
anything i can do for you,yes i just forgot where the bed linens department is
yes i just forgot where the bed linens department is,it s on the third floor
it s on the third floor,thank you
then what price would be fair to you,i think that yuan would be fair for this car
yuan is my final offer,hum ok i will take it
i wanted to go but i could not,it was a great game
our team played hard and won,i really wish i went to the game
i really wish i went to the game,it was the best game ever
it was the best game ever,so tell me the final score
so tell me the final score,the other team lost by three points
the other team lost by three points,it must have been a close game
it must have been a close game,it really was you should have gone
it really was you should have gone,hopefully i will make it to the next one
oh yes i should be there sometime next spring,i will be expecting you then
i will be expecting you then,what is today s special
what is today s special,i think our smoked fish will be to your taste
i think our smoked fish will be to your taste,ok i would like to try it today
ok i would like to try it today,benter s books
we have several hundred in stock,is there a discount for buying in large quantity
is there a discount for buying in large quantity,where is that
where is that,take me to the airport please
take me to the airport please,while driving are you in a hurry
while driving are you in a hurry,i have to be there before
i will do my best,after arriving on time here s twenty dollars
after arriving on time here s twenty dollars,do you have small bills
here is your receipt thank you,kids are always difficult to control
that would be nice,here is the document you asked for this morning
it can also entertain your passengers like me,that is the point
that is the point,hello abc company
it s for a job it looks perfect for you,let s see wanted
let s see wanted,come on what have you got to lose
what about my resume,here i ll help you type one up
have you made up your mind,not yet can you recommend me some chickens
yes here you are,thank you what is your occupation mr smith
i see do you have anything to declare,yes i have some foreign currency to declare
all right,have you got a minute
have you got a minute,sure what is up
sure what is up,what can i do for you
what can i do for you,i would like to open another account
i would like to open another account,what kind do you want to open
what kind do you want to open,i want to open a savings account
i want to open a savings account,do you have an account opened with this bank already
do you have an account opened with this bank already,yes i do
that would be great,how much money do you want to transfer
how much money do you want to transfer,i want to transfer
i want to transfer,i ll do that right now
i ll do that right now,all right thanks
is this your first time here where are you going,i am supposed to go to liu ichang
the queen street i guess,so is it the right way to the city hall
so is it the right way to the city hall,i m afraid you re going in the opposite direction
i m afraid you re going in the opposite direction,is there a train leaving for philadelphia
is there a train leaving for philadelphia,yeah there s an express that leaves in twenty minutes
yeah there s an express that leaves in twenty minutes,may i buy a ticket here at the station
may i help you,yes i would like to see that pen
can i get it duty free,sure if you show me your passport
sure if you show me your passport,it s not the latest model is it
certainly see you in the afternoon,i would like to open an account please
i would like to open an account please,would you like a savings or a chequing account
would you like a savings or a chequing account,savings please
savings please,right could you fill out this form please
right could you fill out this form please,that is great we made minutes earlier
that is great we made minutes earlier,good thing we took a taxi
good thing we took a taxi,mom you are the best
do not tell me you want me to do that,why why not the piano is right there
how depressed,i think my car can run much faster than yours
i think my car can run much faster than yours,but mine equals yours in economy
but mine equals yours in economy,that is true
xxxxxxxxxx,hello
have you made an appointment with this company,not yet do i have to
no i am fine thanks,enjoy your stay
enjoy your stay,why do you want to work in our company
will you be voting,yes will you
yes will you,i already have
i already have,how did you do that
how did you do that,i mailed in an absentee ballot
i mailed in an absentee ballot,why is that
why is that,i can t vote on tuesday
i can t vote on tuesday,what s the reason for that
what s the reason for that,i have to go to work
i have to go to work,you can just go to work after you vote
you can just go to work after you vote,i need to take care of some business that morning
i need to take care of some business that morning,i get it now
i get it now,how s everything with you today
how s everything with you today,i m fine thank you
i m fine thank you,what can i do for you
what can i do for you,i need to transfer money
from my savings account,where are you transferring the money to
where are you transferring the money to,i would like it transferred to my checking account
i would like it transferred to my checking account,how much
how much,i want to transfer
i want to transfer,will that be all
will that be all,yes that will be all
we appreciate hearing that about you,is there anything i can do for you
weeks can i have a brochure of the sightseeing tours,here you are take your time
here you are take your time,good evening
there s a percent service charge in this hotel,well what is this dollars charge then
that s more like it,honey could you help me here a minute
honey could you help me here a minute,sure sweetie what are you doing
sure sweetie what are you doing,i want to put this curtain up
thanks dear,let s go
let s go,where to
where to,did you like the chanel bag that i got
so you sent out invitations to your whole graduating class,yep and the date is set for homecoming night
yep and the date is set for homecoming night,i thought homecoming was a high school dance
good afternoon anything i can do for you,yes i am after some sugar
yes i am after some sugar,well we have some nice sugar
well we have some nice sugar,can you show me the way please
can you show me the way please,sure follow me
but if the company asks what else can we do,hello i need to speak with allan cartwright
hello i need to speak with allan cartwright,this is he may i help you
you need to get a special application form,do you know where i can find the application form
i would like to try the chef s special,then what about you miss
what is my ideal weight,it depends on your height and body type
it depends on your height and body type,how can i avoid injuring myself during exercise
how can i avoid injuring myself during exercise,by warming up before and cooling down after your workout
by warming up before and cooling down after your workout,sir tell us about your experience with super bulk up
sir tell us about your experience with super bulk up,well it s completely changed my life
well it s completely changed my life,tell us how
tell us how,well before i was the skinniest guy on the beach
well before i was the skinniest guy on the beach,and now
wow all because of super bulk up,did you hear something
good idea,hey benjamin have you finished your report on the project
did you hear anything about the robbery,i watched it happen
i watched it happen,really
really,yes i was right there
yes i was right there,what did you see
what did you see,this guy tried to rob the bank
this guy tried to rob the bank,i can not believe it
i can not believe it,i was really scared when he pulled the gun out
i was really scared when he pulled the gun out,what happened next
what happened next,he tried to leave with the money
he tried to leave with the money,did he get caught
excuse me do you sell apples,yes they are over there
yes they are over there,do you sell them individually or by weight
do you sell them individually or by weight,by weight cents per pound
by weight cents per pound,could you weigh these please
could you weigh these please,please anything else
please anything else,a sack of cherries please
a sack of cherries please,here you are
here you are,are you ready to leave
are you ready to leave,give me a sec
give me a sec,can i help you sir
can i help you sir,i want to have a haircut
i want to have a haircut,please take a seat do you need a shampoo
please take a seat do you need a shampoo,how much is a regular haircut without shampoo
how much is a regular haircut without shampoo,
,and how much for haircut with shampoo
and how much for haircut with shampoo,the total charge is
the total charge is,since it is i need a haircut with shampoo
since it is i need a haircut with shampoo,well what shampoo do you prefer
well what shampoo do you prefer,seek please
seek please,minutes later what sort of hairstyles do you like
minutes later what sort of hairstyles do you like,what hairstyle do you feel will look best on me
i have the same idea as you,i was looking for the resume writing workshop
certainly sir how much luggage do you have,well two big suitcases and two small bags
well two big suitcases and two small bags,i will send someone up right away
i will send someone up right away,are you doing the job the way i suggested
are you doing the job the way i suggested,no i think i did not like your method
no i think i did not like your method,well have it your way
well have it your way,have you obtained any certificate of technical qualifications or license
how many years have you had the driver s license,i have two years driving experience
no but i have database programming experience and network knowledge,hello peace hotel
oh it s a pity,i have a reservation for a single with a bath
i have a reservation for a single with a bath,we are sorry but single rooms have been occupied
no sir the tax is included,what is your apartment like
good luck,which service offered by your bank do you use most
are you married,yes i have just married
yes i have just married,how long have you been married
how many people are there in your family,there are four people in my family
there are four people in my family,who are the members of your family
who are the members of your family,my husband my mother in law my daughter and i
i will see you later then,bye i will be back before seven
bye i will be back before seven,good morning madam what can i do for you
good morning madam what can i do for you,i would like to withdraw rib from my corporate account
i would like to withdraw rib from my corporate account,do you have an appointment
here you go,i am sorry ms reeve it says rib here
i am sorry ms reeve it says rib here,oh how silly of me can we correct it here
is tax already included in their price,yes our price can not be matched
yes our price can not be matched,would you consider a volume discount
would you consider a volume discount,if you buy or more you will get a discount
if you buy or more you will get a discount,i will accept your offer
i will accept your offer,may i help you
may i help you,yes i am looking for a coat
yes i am looking for a coat,do you have any style in your mind
do you have any style in your mind,i have no idea
there s been a dramatic change in the weather pattern,do not tell me it affects our flight
do not tell me it affects our flight,it has been delayed
it has been delayed,did they say for how long
mr white too,waiter a table for two please
waiter a table for two please,yes this way please
yes this way please,can we see the menu please
can we see the menu please,here you are
here you are,what s good today
what s good today,i recommend crisp beef and fried duck
would you like to rent the house,you bet as long as i can collect enough money
you bet as long as i can collect enough money,i can lend some to you
i can lend some to you,are not you crazy
are not you crazy,miss where do you want to go
yes you are changed cents a piece,all right
welcome to our company,i really love this kind of atmosphere
and what about that man there,he is our accountant
how do you feel about it,generally it s to my appetite what about you
do not be too critical so what is your favorite,variety shows and talk shows i think
variety shows and talk shows i think,we need to know whether you have the special training
how about your experience,i worked as a pr clerk for one year
how about drink sir,a cup of coffee please
a cup of coffee please,would you like cream or sugar in your coffee
would you like cream or sugar in your coffee,i would like a little sugar please
i would like a little sugar please,sorry i do not have any sugar
sorry i do not have any sugar,why did you ask me if i wanted some
why did you ask me if i wanted some,i do not know i just was not thinking
i do not know i just was not thinking,excuse me i want to pay the bill
excuse me i want to pay the bill,please wait till your name is called
about two years now,can i help you
can i help you,i need some stamps
i need some stamps,what kind of stamps do you want
what kind of stamps do you want,how much do i need for this letter
how much do i need for this letter,i must weigh it
i must weigh it,how much is it overweight
how much is it then,registration plus overweight yuan in all
registration plus overweight yuan in all,ok here you are
ok here you are,do you have any plans for tomorrow night
sure what movies were you thinking about going to,have you heard of hot fuzz
great shall i meet you there around tomorrow night,sounds good i will see you then
right over here sir what size do you wear,medium
yes please,hey what is good with you
hey what is good with you,not a lot what about you
not a lot what about you,i am throwing a party on friday
i am throwing a party on friday,that sounds like fun
that sounds like fun,do you think you can come
do you think you can come,i am sorry i am already doing something this friday
i am sorry i am already doing something this friday,what are you going to be doing
what are you going to be doing,my family and i are going to dinner
my family and i are going to dinner,i was hoping you would come
i was hoping you would come,i will definitely try to make it the next time
i will definitely try to make it the next time,i would better see you there
i would better see you there,all right i will see you next time
all right i will see you next time,do you have laundry service
do you have laundry service,yes we have an excellent service here
he will do it he is too proud not to,you have got everyone figured out do not you
you have got everyone figured out do not you,yes i do everyone
yes i need more amenities,by amenities exactly what do you mean please
i need to take home some souvenirs,okay finally i understand you would like souvenirs
i want to work in a restaurant,fine will you need part time or full time work
fine will you need part time or full time work,i want to work part time
yes thank you,would you care for a drink before you order
would you care for a drink before you order,a glass of qingdao beer
will you make some recommendation,what can i do for you
now i know that something bad is up,just relax we will talk about it this afternoon
just relax we will talk about it this afternoon,may i help you
which place are you most interested in,maybe europe
oh thank you it s very kind of you,we hope you could visit our company again
ok we will definitely go to visit your company,where are you going
where are you going,to the office i will be right back
to the office i will be right back,hey joe what are you doing in this department store
are you engaged,no sir can i help you
no sir can i help you,i want sharing company
i want sharing company,oh hop in
oh hop in,do you have the letter of approval of employment
ok i see,hello
hello,hi daddy it s me troy
hi daddy it s me troy,hi troy how s your trip going
hi troy how s your trip going,it s nice i arrived safely
it s nice i arrived safely,are you all right
are you all right,i m fine is everything fine in the family
the weather is gorgeous here,that s good take good care of yourself
that s good take good care of yourself,i will thank you dad
i will thank you dad,i love you troy
i love you troy,i love you too dad bye
our housing problem is a highly complicated issue,it is true i think we should change some policies
yes sir may i help you,please i would like a ticket to new york
please i would like a ticket to new york,for today
for today,no early saturday morning
nothing earlier i prefer flight at thirty,i am afraid not unless you want a night flight
i am afraid not unless you want a night flight,no exactly not
no exactly not,how about afternoon
how about afternoon,sounds not good i will not take it
sounds not good i will not take it,is there i can do for you miss
i hope so thank you,what time is our connecting flight
what time is our connecting flight,let me check oh oh it s at
i am be right behind ya,you taught at a local school for a year right
you taught at a local school for a year right,yes i was there as an english teacher
yes i was there as an english teacher,did you enjoy yourself there
did you enjoy yourself there,sure i was fond of those lovely children
sure i was fond of those lovely children,so why did you decide to resign
so you can have more room for development,and i can experience another kind of life style
and i can experience another kind of life style,it sounds like a good idea
hi this is abc company is that joseph,yes speaking anything i can do for you
i see is this the marvelous landscape in guiling,i think it is
i prefer the linen one,i d like to send this parcel to australia
no problem that s one dollar extra,thanks very much there s thirteen dollars
thanks very much there s thirteen dollars,there s you receipt goodbye
there s you receipt goodbye,do you have any luggage
do you have any luggage,yes a suitcase and carry on
yes a suitcase and carry on,here s your boarding pass have a nice flight
here s your boarding pass have a nice flight,thank you
how are you doing,great thanks for asking
great thanks for asking,what can i do for you today
what can i do for you today,i would like to deposit some money
i would like to deposit some money,are you depositing cash or a check
are you depositing cash or a check,i want to deposit cash
i want to deposit cash,how much are you depositing
how much are you depositing,i would like to deposit
i would like to deposit,what account do you want your money in
what account do you want your money in,i want to deposit it into my checking account
i want to deposit it into my checking account,do you need anything else
do you need anything else,no that s all thank you
no that s all thank you,beauties picture how may i help you
beauties picture how may i help you,i need to speak with david lin
i need to speak with david lin,he is out of his office
he is out of his office,thank you i will try again later
good let s take a look,what kind of food would you like
what kind of food would you like,i enjoy thai or japanese the best
i enjoy thai or japanese the best,this one shogun looks good
can i help you,yes how much is the teapot
yes how much is the teapot,two hundred and thirty yuan
you can come later,what is the time now
what is the time now,it s half past seven
it s half past seven,i want to know at what time you close
i want to know at what time you close,we offer hour service
we offer hour service,oh that is great thank you
sure it s down this street on the left,is it far from here
is it far from here,no it s not far
no it s not far,how far is it
how far is it,about a mile and a half
about a mile and a half,how long does it take to get there
how long does it take to get there,minutes or so
minutes or so,is it close to the subway station
thanks a lot,waiter bill please
what is this for,that is for the wine
that is for the wine,i see
i see,would you like to put it on your hotel bill
would you like to put it on your hotel bill,yes please
yes please,your name and room number please
your name and room number please,bill black room
sure here it is,how s everything janice
it s all or nothing,it is really exciting news
pierre cardin,how about this one
how about this one,it look fine can i try it on
would you like to get in shape together,what do you have in mind
oh my goodness the traffic is crawling,i think there is an accident ahead
i think there is an accident ahead,we are now running late
we are now running late,i know why do not we take a different route
jenny what is your favorite color,i like red
can i help you,yes i would like this shirt to be dry cleaned
yes i would like this shirt to be dry cleaned,sure when do you want to get it back
yes but we charge more and it only takes hours,ok how much should i pay
ok how much should i pay,yuan
it should take us all the way up to altadena,do not you know
do not you know,i am not positive if it does or not
i am not positive if it does or not,is this the right bus or not
where are we this is not altadena,i know and we have been on the bus forever
i know and we have been on the bus forever,tell me what the street signs say
tell me what the street signs say,oh my gosh that one says temple city
oh my gosh that one says temple city,next time i will look for the bus myself
joy chain elementary school please,will do
will do,how frustrating the bus is still not coming
how frustrating the bus is still not coming,ma am take your kid to school
ma am take your kid to school,yes i am in a hurry please take a shortcut
ok,what is the fare
what is the fare,it s yuan
it s yuan,keep the change
keep the change,thanks ma am
sure just let us know before your lease expires,you did an excellent job in this project
congratulations,when will you give me a raise
when will you give me a raise,ha i am not sure
let me think how much did you have in mind,yuan per month
what can i offer you here,i came here to ask for some information
i came here to ask for some information,ok please go ahead
it s perfect it s a dilbert tie,the diagonal black and red stripes are really conservative though
a fly away tie what a riot,room service may i help you
that is fine quickly please we are so hungry,may i help you
i am mary kelly may i ask your name,my name is zhuang lingy how are you miss kelly
hello what can i do for you sir,hi fill it up please premium
hi fill it up please premium,sure
good how much does it come to,nine gallons of premium that is please
that is fine i can make it,do you have cheongsams
the styte is ok which country is this made in,it s made in china the quality is excellent
it s made in china the quality is excellent,please wrap it
thank you so much,do you have any apartment to rent
do you have any apartment to rent,yes right now i have a studio
yes right now i have a studio,where is it
where is it,in the downtown near the square
in the downtown near the square,is it furnished
is it furnished,yes and the rent includes utilities
what about next saturday,fine
fine,what is this eviction notice for
what is this eviction notice for,the notice you received is a day notice to vacate
the notice you received is a day notice to vacate,are you kidding me
honey i think i need to go see the doctor,ah you are bleeding all over what happened
how about the working hours,from to a m and to p m
from to a m and to p m,can i ask for a leave
can i ask for a leave,of course if necessary
seldom,that is ok how can my salary be improved
that is ok how can my salary be improved,your quantity sold is beyond the required by more than
your quantity sold is beyond the required by more than,excuse me i would like to send this parcel
excuse me i would like to send this parcel,what is in it please
what is in it please,just a few shirts
no i would rather send it by ordinary mail,nine dollars and fifty cents
nine dollars and fifty cents,here you are
here you are,here s the receipt
here s the receipt,thank you so much
i really like japanese or thai food,that japanese restaurant shogun got good reviews
that is the reason why you fought,yes
yes,you two are always quarrelling over little things
will you apologize to her,no way it s her who should apologize
no way it s her who should apologize,hello
hello,hello is that miss smith
hello is that miss smith,yes
yes,this is mr gao how are you
this is mr gao how are you,not too bad thanks and you
that is a pity how about thursday,that would be fine
that would be fine,great what time would you like to meet
ok let s say,and where would you like to meet
ok let s have that then,all right well i will see you later
all right well i will see you later,see you later goodbye
see you later goodbye,what does human resources department do
what does human resources department do,hiring firing training insurances benefits retirement plans salary vacation
hiring firing training insurances benefits retirement plans salary vacation,they take care of a lot of things
they take care of a lot of things,but most of time they provide assistances
but most of time they provide assistances,what do you mean
ok,then the engineering manager will choose the candidate
then the engineering manager will choose the candidate,i see
i see,what are you going to do with that vase penny
what are you going to do with that vase penny,i m going to put it on this table sam
i m going to put it on this table sam,don t do that give it to me
don t do that give it to me,what are you going to do with it
there we are it s a lovely vase,those flowers are lovely too
no trouble i enjoyed helping you,i need help with my timesheet
i need help with my timesheet,ok no problem have you found the blank ones
ok no problem have you found the blank ones,yes i have seen them
mr black when is the earliest shipment you can make,in april or early may
would you like some drinks,yes what kinds of wine do you have
how much do you need to make per year,per year
excuse me mr emory,yes christine
yes christine,could you tell me where the copier is please
sure let s buy it,hi michael
hi michael,hi amy what is up
sure it s over there,where i do not see it
where i do not see it,across the street
across the street,oh i see it now thanks
oh i see it now thanks,no problem
no problem,do you know if there s a restroom around here
do you know if there s a restroom around here,yes there s one here it s in the store
yes there s one here it s in the store,thank you
thank you,bye
bye,mr wang have you enjoyed your stay here
sometime next year,i m looking forward to seeing you again take care
i m looking forward to seeing you again take care,the same to you keep in touch
well we just got in some mangoes,mangoes what are they
how much are they,well the sale price is each
well the sale price is each,what does a mango taste like
what does a mango taste like,they are like a citrus fruit
they are like a citrus fruit,how do i know if it s ripe
where do they come from,most of them in this store are from mexico
most of them in this store are from mexico,yes i think there is something wrong with my car
yes i think there is something wrong with my car,what is the matter
let me see,is it serious
is it serious,no the damage is minor
no the damage is minor,and when will it be ok
and when will it be ok,p m
p m,ok thank you
ok thank you,how was your morning jog
oh ok then i ll come and watch you,may i come in
may i come in,yes please
yes please,how are you doing sir
do you play mahjong,once in a while
you are from the travel agency are not you,yes are you mr james
that is right,do you mind telling me your name
fill it up please,fine do you want your windshield cleaned
it comes to,did you call me sir
ok i will get to work on it at once,can i help you
but i can not find anything in my size here,you are small but you are not a child
you are small but you are not a child,well there s nothing i can do about my height
well there s nothing i can do about my height,there s a petite section that you an check out
there s a petite section that you an check out,what is in the petite section
what is in the petite section,it has clothes in small sizes for small women
it has clothes in small sizes for small women,taxi
taxi,where to
iba client services department shelley speaking how can i help,client services oh hello i need your help
thank you thank you very much,sir how can i help you
sir how can i help you,i would like a one inch photo for my interview
i want to fetch them in days,do you like traveling by train or by plane
do you like traveling by train or by plane,i think i prefer train it s cheaper and safe
i think i prefer train it s cheaper and safe,are you a social person
what is your strategy in communicating with colleagues,well the most important thing in communication is your sincerity
well the most important thing in communication is your sincerity,good morning wilson association
i see i will tell mr tomas you have called,thank you
thank you,you like this china tea set do not you
you like this china tea set do not you,yes but can you show me the other colour ones
yes but can you show me the other colour ones,sure how about the brown one
sure how about the brown one,no i do not like the brown one
no i do not like the brown one,the blue one
the blue one,good i like it
yes sir,can you make a suit for me to measure
that is fine,come here and i will measure you
come here and i will measure you,ok
three twenty five cent stamps please,here you are seventy five cent please
here you are seventy five cent please,and please sent this letter by registered mail
and please sent this letter by registered mail,is there anything valuable in it
is there anything valuable in it,there s a check of two hundred dollars and photograph
there s a check of two hundred dollars and photograph,shall i make out a receipt
shall i make out a receipt,no don t bother
no don t bother,that ll be ninety five cents in all
that ll be ninety five cents in all,excuse me sir my baggage is badly damaged
where can i get it,here you are
but i can not resist a good dinner,which route are you interested in
that is a good choice,what is the departure date
what is the departure date,we have parties every saturday from june to october
we have parties every saturday from june to october,good morning may i help you
yes you must put on her name and address,ok i see here you are is that ok now
ok i see here you are is that ok now,let me check yes your remittance please
let me check yes your remittance please,here you are what is the rate
here you are what is the rate,this rate is one percent that will be yuan
this rate is one percent that will be yuan,ok when will this remittance arrive
ok when will this remittance arrive,generally it will arrive within three days
generally it will arrive within three days,that is good
that is good,what is your great struck
because i m very competent in this area,are you working under pressure
may i speak to marry,she is in a meeting until noon
she is in a meeting until noon,ok i will try her back then
ok i will try her back then,ok thank you
ok thank you,what is your products competitive edge
within weeks once we receive your orders,what dressing would you like on the salad
oh french dressing,sorry it s not available now anything else
sorry it s not available now anything else,we still prefer french dressing
who s your manager tell me would you,do you carry black ink
employees are covered by worker s compensation insurance,what position have you held before
what position have you held before,i have been a salesman
i am in charge of the trading department,what made you decide to change your job
why did you pick this organization,i am very much interested in the position
i am very much interested in the position,what made you decide to join our company
did you already wash your clothes today,i have only washed my white clothes
i have only washed my white clothes,could you wash some of my dark clothes with yours
it s a medium load,you do not mind do you
you do not mind do you,no big deal i will do it for you
no big deal i will do it for you,okay thanks a lot
okay thanks a lot,you are welcome
you are welcome,does this dress look ok on me
does this dress look ok on me,yes of course it seems made to measure
it all sounds exquisite i can t wait,okay doctor tell it to me straight
can i help you madam,yes i am looking for a cap size
yes i am looking for a cap size,would you like to try this one on
of course madam,it s sunday today
it s sunday today,yes i know
i would rather wash the clothes,okay here is the laundry
okay here is the laundry,oh my god so much
oh my god so much,do not worry i will help you with it later
ok let me send a memo around,schedule it for this afternoon when ken gets back
schedule it for this afternoon when ken gets back,i don t think he s back today
i know it s a big one,i want to find an old music box
do you have anything made in the s,we have six
we have six,do any of them have dancing figures
do any of them have dancing figures,actually two of them have dancing figures
actually two of them have dancing figures,that is fantastic i think i like this one
that is fantastic i think i like this one,a good choice i prefer that one myself
a good choice i prefer that one myself,now is there any warranty with this
shall we start decorating the bedroom,i have already started
i have already started,when
when,this afternoon
this afternoon,may i take your order
fine,could you tell us your specials today
could you tell us your specials today,the special today is steak
the special today is steak,we will take this steak dinner
we will take this steak dinner,what would you like to go with your steak
what would you like to go with your steak,peas and carrots
peas and carrots,i see what would you like for dessert
i see what would you like for dessert,icecream please
so that is for me and for you,yes and shall we go fifty fifty for the wine
yes and shall we go fifty fifty for the wine,yes so that is an extra for both of us
and is that all,yes this is everything on the list
i think would be good,hello is mr green there
hello is mr green there,speaking may i ask whom i am talking to
what about next week is it convenient for you,am how about a m on next friday
am how about a m on next friday,any time you say is ok
any time you say is ok,all right expecting you
all right expecting you,where did you study accounting
where did you study accounting,i studied at anshan university
i studied at anshan university,did you intern anywhere
did you intern anywhere,yes i interned with an accounting firm during tax season
yes i interned with an accounting firm during tax season,that must have been stressful
that must have been stressful,yes but i learned a lot
yes but i learned a lot,i will bet
i will bet,i learned about different tax laws and how they work
i learned about different tax laws and how they work,hello mr zhang it s mary
hello mr zhang it s mary,yes mary
how about monday morning at a m,ok i will go to your office at that time
ok i will go to your office at that time,good afternoon mrs white
thanks a lot mrs white,you are welcome
george did you remember to buy the book,sorry darling i forgot
excuse me madam you parked in the handicapped spot,but but it was really an emergency and my stub
but but it was really an emergency and my stub,do not tell me you lost it
do not tell me you lost it,ah umm kind of
ah umm kind of,that was quick
that was quick,well i umm i flushed it
well i umm i flushed it,oh there is something wrong with my car
do you have any english newspapers,yes just over there
yes they are just next to the newspapers actually,thank you
thank you,come on darling we have not got much time
no come here right now,ok
thank you for coming so quickly,no problem what s wrong
no problem what s wrong,a pipe in my apartment is leaking
a pipe in my apartment is leaking,where is the pipe
where is the pipe,the pipe is in my bathroom
yes i m aware of that,is that all right
is that all right,i just need the problem fixed
i just need the problem fixed,i ll get started on it now
not until next week i think the th,then we ve got plenty of time
which department do you want to register with,i want to see a dentist
i want to see a dentist,please pay the registration fee yuan
please pay the registration fee yuan,ok thank you
ok thank you,is this our bus stop
is this our bus stop,i think this is it get off
i think this is it get off,dude where are we at
dude where are we at,i have no idea
i have no idea,i thought this was the right stop
i thought this was the right stop,it does not look right to me
it does not look right to me,did you make us get off early
did you make us get off early,i think we did
i think we did,i should not have listened to you
i should not have listened to you,i really thought this was our stop
i really thought this was our stop,now we have to walk
now we have to walk,maybe we should just wait for the next bus
maybe we should just wait for the next bus,good morning madam can i help you
good morning madam can i help you,good morning i m looking for a new jacket
good morning i m looking for a new jacket,our jackets are over here next to coats and accessories
our jackets are over here next to coats and accessories,i like this jacket can i try it on
i like this jacket can i try it on,of course the changing rooms are over there
of course the changing rooms are over there,thanks
thanks,can i see these silk ties
can i see these silk ties,no problem
no problem,i ll take this one
i ll take this one,good anything else the tie pins the cuff links
this is the rush hour,i noticed there s a jam a few blocks away
i noticed there s a jam a few blocks away,let s drive off this road
let s drive off this road,i m afraid i ll be late
i m afraid i ll be late,so are we all ready to go
i m sure we ve got all our bases covered,well let s get going then i love road trips
well let s get going then i love road trips,um do you think we can make a pit stop
yes i have here are my blouse coats and stockings,anything else
yes i noticed it yet,the laundry has sewed on a new button for you
the laundry has sewed on a new button for you,oh thanks a lot
thank you for your understanding,i am going to take a nap
i am going to take a nap,you should unplug the phone
you should unplug the phone,that is a good idea
that is a good idea,do you want me to wake you in an hour
do you want me to wake you in an hour,no thanks just let me sleep until i wake up
no thanks just let me sleep until i wake up,i will start dinner at
i will start dinner at,okay i think i will be awake by then
okay i think i will be awake by then,if not your nose will wake you up
if not your nose will wake you up,you mean i will smell the food cooking
you mean i will smell the food cooking,you might even dream about dinner
have a nice nap,i really feel like eating a salad
i really feel like eating a salad,what kind are you going to make
what kind are you going to make,i am really not sure
i am really not sure,i really like caesar salads
i really like caesar salads,caesar salads are pretty good
caesar salads are pretty good,what kind of salad do you want to make
what kind of salad do you want to make,i want a salad with some chicken
i want a salad with some chicken,i love chicken salads
that sounds really tasty,you should make a salad like that
you should make a salad like that,i think that i will
with pleasure what color do you like,i like yellow best how much does it cost
i like yellow best how much does it cost,it costs yuan miss
where did this come from,i have no idea
thanks,how was it
how was it,i am sorry it took so long
i am sorry it took so long,do not worry about it but how was it
do not worry about it but how was it,is there a vacant table for right now
is there a vacant table for right now,i am sorry sir all the tables have been booked
i am sorry sir all the tables have been booked,what a pity
ok,hello mr mayhew how are you today
would you like a balance inquiry first mr mayhew,that might be a good idea yes
it s no big deal thank you,what is your favorite magazine
oh i think i should try to read one,i lost track of time am i late
i lost track of time am i late,yes what kept you from arriving on time
yes what kept you from arriving on time,my friend needed me to help him
sure i will sit right here,wonderful does anyone have any questions about this project
wonderful does anyone have any questions about this project,i am confused about the projected revenues
is this the right bus for the grand hotel,oh no you should take the no tram
